Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,TopPt1,1747514,1789564,142251,197620,297801,10382,23995,589614,527901,42050,14290,20128,7632
1989:Q3,RemainingTop1,2885092,2962658,451762,161002,584206,112641,83828,737907,831311,77566,57447,4581,15538
1989:Q3,Next9,7623207,8121744,2073367,420076,806891,1411665,422800,1013657,1973288,498537,393945,56884,47708
1989:Q3,Next40,7394537,8968681,3409892,757671,343118,1783877,420369,582457,1671297,1574144,1161772,362586,49786
1989:Q3,Bottom50,773814,1731952,815444,359981,24085,159401,56816,45991,270234,958138,583235,340028,34875
1989:Q4,TopPt1,1788703,1828591,153554,199158,310574,12742,23320,590691,538551,39888,13592,18389,7907
1989:Q4,RemainingTop1,2949912,3032347,483550,161163,595105,116705,87199,735422,853202,82435,60225,4289,17921
1989:Q4,Next9,7765721,8277017,2101799,419613,824809,1439838,442247,1040213,2008498,511295,404428,60105,46762
1989:Q4,Next40,7551402,9152628,3456716,774880,361989,1833744,438709,581215,1705375,1601227,1182045,369258,49924
1989:Q4,Bottom50,748879,1739114,798697,370961,25563,161104,58512,49289,274987,990235,599826,357244,33165
1990:Q1,TopPt1,1788268,1826143,165163,186997,285141,15233,21807,596704,555098,37875,13170,16546,8159
1990:Q1,RemainingTop1,2933859,3023010,488054,163725,556043,121012,88109,748603,857464,89150,63820,6002,19328
1990:Q1,Next9,7760595,8295965,2094425,433282,779219,1458656,449912,1047606,2032865,535370,425883,60158,49329
1990:Q1,Next40,7631355,9246473,3462187,798829,352996,1874968,442444,584914,1730135,1615118,1208814,355496,50808
1990:Q1,Bottom50,788053,1798458,836955,384296,25577,162611,58447,50490,280081,1010405,623226,354118,33061
1990:Q2,TopPt1,1829320,1865221,175623,188247,300969,17627,20541,597822,564393,35901,12747,14886,8268
1990:Q2,RemainingTop1,2986246,3080509,513828,163876,578976,125250,89858,759155,849565,94263,67082,6288,20893
1990:Q2,Next9,7838884,8396047,2109485,432012,800535,1481320,468299,1054217,2050179,557163,445871,61975,49317
1990:Q2,Next40,7740629,9374824,3484513,813957,361309,1919886,453874,587688,1753598,1634195,1229744,353621,50830
1990:Q2,Bottom50,765858,1799521,817340,394419,27683,164200,58976,52348,284554,1033663,639967,361942,31754
1990:Q3,TopPt1,1804908,1838657,187418,172919,228724,20074,18615,605269,605639,33749,12167,13245,8337
1990:Q3,RemainingTop1,2880816,2980297,514137,164750,470538,129612,89223,761435,850601,99480,69984,6467,23029
1990:Q3,Next9,7767651,8335161,2098177,445173,673180,1499610,463725,1070023,2085273,567511,458734,64350,44427
1990:Q3,Next40,7756561,9410981,3487151,831783,322030,1960811,446289,584953,1777965,1654420,1249726,354695,49999
1990:Q3,Bottom50,804179,1862073,868122,401621,25381,165701,57804,53581,289863,1057894,656126,373545,28223
1990:Q4,TopPt1,1887275,1918866,196247,162073,273542,22462,18027,618369,628146,31591,11368,11601,8622
1990:Q4,RemainingTop1,2974389,3078919,522219,166948,522647,133934,92915,758943,881314,104530,72509,7100,24921
1990:Q4,Next9,7921225,8497235,2073669,454237,744658,1520406,484713,1087630,2131922,576010,462552,66597,46861
1990:Q4,Next40,7891064,9565708,3486230,846042,365621,2004177,466441,579447,1817750,1674644,1269719,354322,50603
1990:Q4,Bottom50,802855,1888612,877066,409820,28303,167254,59730,53501,292937,1085757,673107,384772,27878
1991:Q1,TopPt1,1944708,1974319,208344,160012,338712,24878,17825,622537,602011,29612,10608,10000,9004
1991:Q1,RemainingTop1,3098021,3209199,533803,168390,598964,138328,97848,751996,919870,111178,75019,9206,26953
1991:Q1,Next9,8094215,8675206,2086257,456245,848895,1539007,508250,1096363,2140189,580991,467305,66155,47531
1991:Q1,Next40,8040750,9718272,3475869,861921,426939,2045586,492984,573701,1841273,1677522,1288048,337929,51545
1991:Q1,Bottom50,822585,1916605,885415,421261,31929,168765,62588,53294,293352,1094020,688172,378916,26932
1991:Q2,TopPt1,1947362,1975059,220146,152225,336933,27243,16706,614882,606924,27698,10232,8482,8984
1991:Q2,RemainingTop1,3074722,3191122,539292,168644,591200,142674,99912,748920,900481,116400,78298,9897,28205
1991:Q2,Next9,8097710,8698802,2086814,461042,838668,1560369,520722,1101571,2129616,601092,486680,67399,47013
1991:Q2,Next40,8087259,9780164,3465393,874303,429170,2089681,503226,571505,1846886,1692905,1309419,332357,51129
1991:Q2,Bottom50,841969,1955814,910787,427493,33143,170335,63363,55587,295106,1113845,705484,383170,25191
1991:Q3,TopPt1,1968199,1994098,230870,134881,372239,29611,16125,607554,602818,25899,9922,6998,8979
1991:Q3,RemainingTop1,3133786,3252626,542508,171455,632390,147039,103761,758236,897238,118840,80739,9599,28502
1991:Q3,Next9,8139435,8767765,2067727,475397,888544,1581731,540998,1080404,2132964,628330,505468,68926,53936
1991:Q3,Next40,8215996,9911224,3474067,887682,457530,2133876,524283,573859,1859927,1695228,1314286,329114,51828
1991:Q3,Bottom50,892292,2010672,951227,434028,35977,171908,65463,55311,296758,1118380,703553,387862,26965
1991:Q4,TopPt1,2054035,2078318,244553,126063,466107,31971,15728,602168,591729,24283,9672,5475,9136
1991:Q4,RemainingTop1,3290291,3412515,548108,172724,748183,151396,108296,764476,919332,122223,83883,9263,29077
1991:Q4,Next9,8316095,8976537,2086075,480715,1031917,1604102,565399,1059598,2148730,660442,527577,71379,61486
1991:Q4,Next40,8371724,10086354,3470915,897896,529296,2179119,550230,575370,1883527,1714630,1331128,330503,52999
1991:Q4,Bottom50,923638,2066776,991713,439991,41026,173503,68095,54415,298032,1143137,715097,398962,29078
1992:Q1,TopPt1,2065476,2088535,257095,124165,455257,34123,14217,607988,595689,23059,9763,3996,9300
1992:Q1,RemainingTop1,3264818,3392427,575903,171181,723307,155441,109110,761270,896215,127609,86886,9537,31186
1992:Q1,Next9,8285723,8975864,2107880,479422,1006800,1640194,569590,1061096,2110882,690141,559868,71176,59097
1992:Q1,Next40,8469666,10177143,3509212,910526,531514,2237314,551688,568816,1868072,1707477,1337734,316822,52921
1992:Q1,Bottom50,937242,2069423,987682,446800,41742,175377,67959,53922,295941,1132181,713470,391822,26889
1992:Q2,TopPt1,2057834,2079377,267966,118989,459190,34021,13083,604313,581815,21543,9678,2437,9428
1992:Q2,RemainingTop1,3259377,3390196,596170,171029,720597,153328,111296,756926,880850,130819,89566,9070,32183
1992:Q2,Next9,8280642,9001953,2103047,482137,1001702,1680740,583846,1060343,2090137,721311,584841,72707,63763
1992:Q2,Next40,8582089,10292392,3526010,925351,536046,2304159,563270,564041,1873515,1710303,1344210,312476,53617
1992:Q2,Bottom50,942532,2078408,980542,455572,43369,176249,68841,55024,298811,1135876,712399,395642,27835
1992:Q3,TopPt1,2090560,2110336,281297,97250,489448,33944,12350,611816,584231,19775,9323,882,9570
1992:Q3,RemainingTop1,3284946,3420636,592689,174042,750310,151173,114868,760878,876676,135690,92612,9255,33823
1992:Q3,Next9,8376685,9117344,2100981,500082,1038837,1721435,604088,1054545,2097377,740660,601876,74914,63870
1992:Q3,Next40,8712314,10441351,3534668,938822,561765,2371286,583534,560808,1890468,1729038,1364007,311384,53647
1992:Q3,Bottom50,1005794,2165214,1054354,461346,45937,177116,70782,54264,301416,1159421,727510,405498,26413
1992:Q4,TopPt1,2180050,2200633,276010,103017,569415,31332,12992,605073,602794,20583,9867,874,9842
1992:Q4,RemainingTop1,3462769,3602113,596363,174616,873898,147652,120477,788809,900298,139344,96078,9322,33944
1992:Q4,Next9,8526997,9268249,2101782,500317,1158101,1783968,622815,1019590,2081677,741252,605692,75427,60133
1992:Q4,Next40,8890169,10635966,3586915,942937,608651,2426982,604923,570070,1895488,1745797,1372439,318767,54591
1992:Q4,Bottom50,1007911,2214778,1078905,472368,49701,177639,77454,53855,304856,1206866,756277,420379,30210
1993:Q1,TopPt1,2284403,2305824,270069,133512,595884,29111,14149,630005,633094,21421,10315,1015,10091
1993:Q1,RemainingTop1,3578400,3721306,622060,169867,927385,144662,127749,815699,913884,142906,98721,10929,33256
1993:Q1,Next9,8580212,9318681,2123295,475253,1191565,1823772,645740,1015500,2043556,738468,603898,72710,61860
1993:Q1,Next40,8997501,10730906,3617444,943691,617494,2461378,635351,570235,1885314,1733405,1369105,308071,56229
1993:Q1,Bottom50,949222,2172528,1014909,484078,51433,177709,85313,52255,306831,1223306,772148,414536,36622
1993:Q2,TopPt1,2319733,2341960,265921,136198,608762,26901,14635,638985,650557,22227,10834,1084,10309
1993:Q2,RemainingTop1,3646900,3794418,617484,170790,959780,141627,132665,842351,929721,147519,102379,11842,33298
1993:Q2,Next9,8609557,9346692,2128536,479925,1206049,1864338,657972,1003068,2006804,737135,607199,72224,57712
1993:Q2,Next40,9089682,10838121,3661339,952586,623254,2496461,651063,575502,1877916,1748439,1381702,309828,56909
1993:Q2,Bottom50,974750,2244335,1063609,496752,52408,177789,91294,52485,309998,1269585,805714,423684,40187
1993:Q3,TopPt1,2386316,2409165,261608,135699,645046,24679,15249,654013,672872,22850,11158,1133,10559
1993:Q3,RemainingTop1,3746422,3897211,610845,172694,1025229,138523,138030,865060,946829,150789,105892,12579,32318
1993:Q3,Next9,8695080,9431847,2126534,487749,1254458,1906742,674937,1000924,1980504,736768,603096,72693,60979
1993:Q3,Next40,9197308,10968332,3708566,961018,638895,2533246,670748,577293,1878566,1771024,1395540,316863,58621
1993:Q3,Bottom50,995853,2324664,1118958,508719,54492,177901,97536,52827,314230,1328811,842331,439401,47079
1993:Q4,TopPt1,2487438,2510866,257586,144659,682982,22508,15621,674420,713089,23428,11634,1048,10746
1993:Q4,RemainingTop1,3874971,4027513,616576,173069,1090681,135456,142342,890631,978758,152542,109227,11818,31497
1993:Q4,Next9,8788090,9528450,2139407,487730,1306957,1946809,682284,998081,1967181,740359,603396,74776,62187
1993:Q4,Next40,9311864,11108825,3761922,972613,659591,2567848,682123,579353,1885375,1796962,1403604,333431,59927
1993:Q4,Bottom50,983635,2373109,1142031,524007,56488,177966,102935,52461,317222,1389474,871317,465095,53062
1994:Q1,TopPt1,2586149,2610417,253192,165490,646835,20352,15722,706239,802587,24268,11920,1194,11154
1994:Q1,RemainingTop1,3884762,4042335,633404,169580,1055269,132380,145524,920298,985879,157572,112244,13539,31789
1994:Q1,Next9,8795920,9523707,2163627,474065,1241895,1986439,683718,1003630,1970333,727787,595735,73188,58864
1994:Q1,Next40,9371035,11170789,3804432,980110,630763,2602056,686600,578914,1887914,1799755,1409696,328756,61303
1994:Q1,Bottom50,947947,2372531,1120859,536792,55527,178020,107412,52147,321773,1424584,899874,467200,57510
1994:Q2,TopPt1,2678942,2704140,248724,174193,633475,18211,16341,730453,882744,25199,12522,1135,11542
1994:Q2,RemainingTop1,3907806,4068495,640744,169647,1056730,129301,150507,952159,969407,160689,115706,13027,31956
1994:Q2,Next9,8788814,9519500,2171273,474007,1203931,2025428,690742,1007378,1946742,730686,600160,74542,55984
1994:Q2,Next40,9429660,11251954,3861113,990987,600412,2635692,700852,580374,1882524,1822295,1417995,341441,62859
1994:Q2,Bottom50,938021,2417000,1138107,550714,55990,178061,113250,53724,327153,1478978,928238,488435,62305
1994:Q3,TopPt1,2759305,2785302,243831,173859,651222,16023,17281,748088,934997,25997,13086,1056,11855
1994:Q3,RemainingTop1,3972341,4135990,635916,172359,1097349,126131,156769,967252,980214,163650,119188,12319,32143
1994:Q3,Next9,8859446,9589795,2159410,483471,1217385,2067308,707739,1017514,1936967,730349,602873,76363,51113
1994:Q3,Next40,9526771,11375084,3912591,1002546,596406,2672065,724409,576537,1890530,1848313,1427481,356994,63838
1994:Q3,Bottom50,956449,2494196,1185036,564263,57499,178157,120027,55384,333831,1537747,958421,513221,66105
1994:Q4,TopPt1,2891137,2917891,237517,179509,646499,13883,17032,772209,1051242,26753,13724,859,12170
1994:Q4,RemainingTop1,4017809,4182031,643362,172730,1107999,123029,158231,992458,984222,164223,122629,10336,31258
1994:Q4,Next9,8858630,9600952,2144636,485512,1193295,2105937,697710,1023558,1950304,742322,607940,79671,54711
1994:Q4,Next40,9581139,11464738,3975054,1010956,574407,2705460,717737,574534,1906589,1883598,1435545,381881,66172
1994:Q4,Bottom50,920481,2528654,1195655,575456,58172,178192,123052,56850,341277,1608173,986101,548420,73652
1995:Q1,TopPt1,2988047,3015712,232964,187697,700464,11622,18407,795153,1069405,27665,14131,963,12571
1995:Q1,RemainingTop1,4155731,4324679,641751,174500,1199931,119737,166129,1014800,1007831,168948,125555,11557,31836
1995:Q1,Next9,8988740,9717812,2145325,486948,1257961,2151367,723961,1024980,1927271,729072,602684,78502,47886
1995:Q1,Next40,9711337,11597427,4006349,1021479,586301,2745265,751568,571175,1915290,1886090,1438764,379967,67359
1995:Q1,Bottom50,945025,2586385,1218753,590075,61353,178359,131057,57575,349213,1641360,1010792,553557,77011
1995:Q2,TopPt1,3061192,3089719,232193,181142,757516,9700,19745,808497,1080926,28527,14521,945,13061
1995:Q2,RemainingTop1,4278864,4451505,606389,178563,1289505,117730,173980,1040193,1045144,172641,129035,11539,32067
1995:Q2,Next9,9156930,9878936,2148715,500239,1332118,2205411,756805,1016388,1919259,722005,597274,80002,44729
1995:Q2,Next40,9796005,11709917,4001393,1026201,611328,2782277,788066,574884,1925768,1913912,1450768,393595,69549
1995:Q2,Bottom50,1022171,2728150,1333118,598174,64193,179882,138992,58629,355161,1705979,1046703,577045,82231
1995:Q3,TopPt1,3174848,3204226,231273,180446,827544,7789,21525,827373,1108275,29377,15145,842,13390
1995:Q3,RemainingTop1,4431031,4605262,585389,181161,1393928,115751,183366,1067109,1078558,174231,132648,10592,30991
1995:Q3,Next9,9328317,10060201,2162244,507381,1426396,2257494,791716,1014444,1900526,731884,600610,82070,49204
1995:Q3,Next40,9906951,11852862,4016389,1029870,647059,2817365,831347,580057,1930775,1945911,1462202,411348,72361
1995:Q3,Bottom50,1063543,2837775,1417842,606131,67393,181370,148192,59804,357043,1774231,1079166,604747,90318
1995:Q4,TopPt1,3273640,3306300,234523,179281,903118,9336,23310,839302,1117430,32661,15715,919,16027
1995:Q4,RemainingTop1,4582506,4760505,596979,181533,1466701,123703,194367,1081323,1115900,177999,134327,9347,34325
1995:Q4,Next9,9582449,10322088,2194051,515367,1549227,2297128,811573,1024957,1929785,739639,602554,89365,47720
1995:Q4,Next40,10087956,12090637,4048636,1044622,708922,2846233,871555,595878,1974790,2002681,1492071,434549,76061
1995:Q4,Bottom50,1062346,2858103,1419098,608451,73214,183700,152718,60137,360786,1795757,1075258,633980,86519
1996:Q1,TopPt1,3307388,3342721,238959,181401,945610,10974,25083,833905,1106788,35333,16414,1347,17572
1996:Q1,RemainingTop1,4688833,4870755,612024,181681,1490767,131795,205232,1093092,1156163,181922,136756,11864,33302
1996:Q1,Next9,9783775,10549073,2240672,521973,1625599,2333262,830269,1026103,1971196,765298,610403,91675,63220
1996:Q1,Next40,10286381,12321476,4084946,1063430,759186,2871892,911235,617029,2013757,2035095,1532308,427826,74961
1996:Q1,Bottom50,1080035,2877989,1418158,613938,77402,185980,156979,61666,363866,1797954,1082425,629496,86033
1996:Q2,TopPt1,3350481,3389588,240526,174360,987153,12649,26360,828218,1120323,39107,17350,1508,20249
1996:Q2,RemainingTop1,4738946,4925437,629926,182565,1516359,139941,214213,1087561,1154873,186492,139021,11483,35988
1996:Q2,Next9,9927823,10717158,2252550,534102,1695431,2369110,838640,1037040,1990285,789335,627061,97046,65228
1996:Q2,Next40,10448779,12535365,4152976,1075014,800930,2897308,939107,626926,2043105,2086586,1567511,440361,78714
1996:Q2,Bottom50,1078726,2888818,1417811,612791,81731,188269,159613,62954,365649,1810092,1080718,646181,83193
1996:Q3,TopPt1,3355562,3398305,243061,170673,992047,14360,27964,822100,1128099,42743,18333,1674,22736
1996:Q3,RemainingTop1,4770106,4960946,647771,183070,1492478,148144,224338,1108624,1156521,190840,141382,11134,38324
1996:Q3,Next9,10015981,10830308,2275882,544931,1711233,2404670,849988,1022717,2020887,814328,645521,102321,66486
1996:Q3,Next40,10604876,12741673,4213431,1091423,823304,2922456,973177,649787,2068095,2136797,1603659,452416,80722
1996:Q3,Bottom50,1080550,2901925,1416282,615121,84378,190565,163023,63786,368770,1821375,1079943,662302,79130
1996:Q4,TopPt1,3499224,3544690,246568,177732,1045893,16252,32860,868188,1157196,45466,19162,1814,24490
1996:Q4,RemainingTop1,4860876,5054032,673252,182375,1535269,156622,245120,1087953,1173442,193157,143546,10523,39088
1996:Q4,Next9,10320678,11158830,2323854,544959,1796820,2431450,887410,1106174,2068163,838152,657301,108410,72441
1996:Q4,Next40,10795588,12982435,4258243,1104639,869238,2939424,1065114,642283,2103494,2186847,1638490,469092,79265
1996:Q4,Bottom50,1057679,2896714,1385193,618288,89227,192709,174842,65131,371324,1839036,1079634,684038,75364
1997:Q1,TopPt1,3486831,3536524,250405,179911,1055729,18031,33561,898064,1100822,49693,20042,2219,27432
1997:Q1,RemainingTop1,4826777,5026077,687168,181847,1519780,164938,252093,1058947,1161305,199301,145511,12761,41029
1997:Q1,Next9,10498260,11357340,2362389,550774,1818177,2466564,885108,1212292,2062037,859081,670846,109420,78815
1997:Q1,Next40,10880810,13092010,4290167,1122302,891735,2964086,1080480,640740,2102500,2211199,1669558,457194,84447
1997:Q1,Bottom50,1088006,2909312,1379755,622268,92050,195019,175476,71404,373340,1821306,1074516,672581,74209
1997:Q2,TopPt1,3632602,3685968,254320,170520,1248151,19672,38681,890540,1064084,53365,20952,2435,29978
1997:Q2,RemainingTop1,5143505,5346126,698360,185940,1746968,173065,273949,1088814,1179031,202621,147727,12968,41926
1997:Q2,Next9,10923719,11811263,2391876,563872,2096489,2511201,965443,1200226,2082156,887544,685922,113858,87764
1997:Q2,Next40,11231221,13488244,4346270,1126924,998764,2997519,1197845,670121,2150801,2257023,1704022,464923,88078
1997:Q2,Bottom50,1130082,2960509,1400621,619785,103520,197516,187577,73826,377664,1830427,1073301,683853,73273
1997:Q3,TopPt1,3746611,3802072,260080,162630,1361717,21373,43033,900795,1052443,55461,22057,2653,30751
1997:Q3,RemainingTop1,5313625,5518898,697604,188429,1866214,181309,292805,1087635,1204902,205273,150861,13239,41173
1997:Q3,Next9,11289702,12217955,2431670,577903,2264747,2553510,1026166,1248220,2115739,928252,710159,118550,99543
1997:Q3,Next40,11480934,13788422,4372306,1140178,1072677,3028691,1294853,683944,2195773,2307488,1750134,474180,83174
1997:Q3,Bottom50,1180469,3032280,1442677,620919,111080,199977,197252,78071,382303,1851811,1083795,697182,70834
1997:Q4,TopPt1,3865353,3925405,265278,173245,1395294,23252,43609,947666,1077062,60052,23103,2745,34204
1997:Q4,RemainingTop1,5364000,5572166,726219,186375,1881482,189848,299371,1063992,1224879,208166,152672,11923,43571
1997:Q4,Next9,11576927,12536128,2501286,575517,2321664,2586435,1011371,1370676,2169179,959200,730938,124323,103939
1997:Q4,Next40,11608406,13963505,4424514,1157092,1109809,3051024,1303265,682019,2235782,2355099,1775894,489182,90023
1997:Q4,Bottom50,1169271,3026148,1416307,625798,115052,202270,197221,84248,385252,1856877,1071631,715992,69254
1998:Q1,TopPt1,4058656,4122629,271312,166813,1616469,24695,49286,945738,1048316,63973,24204,3101,36668
1998:Q1,RemainingTop1,5730565,5943634,742438,190657,2138798,197797,322228,1082192,1269524,213069,154986,13637,44446
1998:Q1,Next9,12120097,13112141,2558302,587969,2638953,2645160,1093808,1390108,2197842,992044,755109,125195,111740
1998:Q1,Next40,12036299,14415456,4494901,1167117,1232474,3097158,1429610,707628,2286568,2379157,1808309,477697,93151
1998:Q1,Bottom50,1251504,3090523,1443720,627581,127435,205048,209811,88421,388507,1839019,1066881,704412,67726
1998:Q2,TopPt1,4127542,4194609,275021,165134,1653084,24828,50105,940038,1086398,67067,25160,3263,38644
1998:Q2,RemainingTop1,5818531,6035314,787259,191240,2160152,202280,330225,1074506,1289653,216784,157997,13343,45444
1998:Q2,Next9,12371120,13396765,2616052,596850,2701289,2699009,1098113,1442345,2243106,1025645,774477,131143,120025
1998:Q2,Next40,12303041,14743194,4634490,1183776,1270226,3146752,1452098,722853,2332999,2440152,1853073,493921,93158
1998:Q2,Bottom50,1227618,3096626,1429612,630755,131757,208125,210493,94788,391096,1869008,1077432,726074,65502
1998:Q3,TopPt1,3985037,4056120,280853,144908,1438260,25166,45865,933027,1188041,71083,26170,3447,41466
1998:Q3,RemainingTop1,5540744,5762880,791953,190876,1863578,207128,322840,1095713,1290791,222136,160961,13271,47904
1998:Q3,Next9,12149448,13201692,2651238,622926,2417975,2740178,1006399,1446328,2316648,1052244,796906,136257,119081
1998:Q3,Next40,12275331,14771920,4733177,1207671,1193841,3184429,1359637,748691,2344475,2496590,1895734,505585,95271
1998:Q3,Bottom50,1278975,3166219,1512036,630389,124452,210971,198968,97653,391751,1887245,1085070,742159,60016
1998:Q4,TopPt1,4173623,4242194,292438,154515,1691676,24894,52037,940484,1086150,68571,25615,3274,39682
1998:Q4,RemainingTop1,6063764,6294717,839386,211423,2226500,211015,343364,1102379,1360650,230953,167271,13244,50438
1998:Q4,Next9,12944646,14011784,2749848,612256,2865164,2798814,1159158,1471049,2355495,1067137,810217,137697,119223
1998:Q4,Next40,12810502,15378322,4841584,1212739,1380134,3247617,1524491,755996,2415761,2567820,1943699,524219,99902
1998:Q4,Bottom50,1256999,3191419,1489090,642866,137166,211644,217757,95162,397734,1934420,1110640,762837,60943
1999:Q1,TopPt1,4093098,4158342,303817,145355,1641609,24880,52180,917704,1072797,65244,24894,3262,37088
1999:Q1,RemainingTop1,6124694,6367413,852145,230107,2209183,215347,345810,1140615,1374206,242719,173299,15130,54290
1999:Q1,Next9,13038160,14113446,2808485,617038,2876992,2841671,1204875,1420126,2344259,1075286,818188,135771,121327
1999:Q1,Next40,12993769,15606370,4917356,1220458,1401298,3296063,1555593,778195,2437407,2612601,1987705,525173,99723
1999:Q1,Bottom50,1297867,3255095,1542741,648348,136701,212015,222071,91041,402178,1957228,1132590,763062,61576
1999:Q2,TopPt1,4180669,4242543,315940,148238,1757386,24740,53677,916945,1025617,61874,24203,3144,34527
1999:Q2,RemainingTop1,6402354,6653325,885942,248170,2405358,219568,353049,1193396,1347842,250971,179889,15928,55154
1999:Q2,Next9,13420159,14522996,2899190,613807,3127252,2890925,1279322,1401605,2310895,1102837,829413,136109,137315
1999:Q2,Next40,13296097,15976566,5017667,1233981,1507155,3350371,1619789,808199,2439404,2680468,2038425,538554,103489
1999:Q2,Bottom50,1290269,3298281,1558243,660674,143834,212497,229877,89373,403783,2008011,1161270,777846,68895
1999:Q3,TopPt1,4119919,4178145,328503,139458,1617915,24831,50081,954826,1062531,58226,23776,2946,31504
1999:Q3,RemainingTop1,6309013,6570159,903828,263021,2273645,224193,343685,1234733,1327054,261146,187080,15854,58212
1999:Q3,Next9,13421525,14549597,2972734,621820,3004690,2926393,1251069,1451343,2321548,1128071,853031,137384,137656
1999:Q3,Next40,13329536,16082747,5125482,1256084,1475674,3391847,1564000,826327,2443333,2753211,2094162,557366,101683
1999:Q3,Bottom50,1314991,3375070,1628316,670350,139451,212723,224759,89932,409539,2060079,1193174,798345,68560
1999:Q4,TopPt1,4467134,4521615,339377,140405,1963509,24350,54459,965539,1033976,54481,23522,2615,28344
1999:Q4,RemainingTop1,6957036,7221141,945988,284139,2777021,228051,361560,1267551,1356830,264105,193234,14216,56655
1999:Q4,Next9,14340590,15529689,3060036,620051,3593454,2994550,1397100,1468820,2395679,1189100,882578,138954,167568
1999:Q4,Next40,13919534,16735285,5246038,1264147,1695574,3463625,1703876,844298,2517728,2815751,2131770,578449,105532
1999:Q4,Bottom50,1340207,3444870,1631566,682379,157619,213550,240286,89211,430260,2104664,1203371,819387,81906
2000:Q1,TopPt1,4544111,4595173,353731,136017,2045896,24197,55446,933751,1046135,51062,23241,2425,25396
2000:Q1,RemainingTop1,7230632,7496485,988490,302242,2940981,232451,368138,1313281,1350901,265853,198794,14133,52926
2000:Q1,Next9,14659454,15916271,3172591,626457,3798709,3043741,1465291,1394605,2414876,1256817,910420,137138,209259
2000:Q1,Next40,14310889,17164860,5413878,1286140,1776593,3517827,1759203,868230,2542990,2853971,2160504,581250,112217
2000:Q1,Bottom50,1406650,3530144,1685037,697071,163836,214032,247109,83946,439113,2123494,1203773,818819,100902
2000:Q2,TopPt1,4422030,4469818,367077,135705,1871470,24243,52868,976485,1041970,47788,22857,2123,22808
2000:Q2,RemainingTop1,7064715,7341748,1050190,317361,2764769,237207,362576,1294244,1315401,277033,205919,13173,57941
2000:Q2,Next9,14715277,15987485,3290162,629016,3624391,3081626,1459507,1518327,2384457,1272208,937080,138843,196285
2000:Q2,Next40,14422716,17350225,5623040,1311072,1725955,3561596,1728922,856809,2542831,2927509,2212724,604491,110294
2000:Q2,Bottom50,1403296,3571964,1710570,711558,158401,214313,244542,87452,445128,2168667,1230526,843140,95001
2000:Q3,TopPt1,4460327,4504365,381292,123067,1821165,24163,51962,1040589,1062127,44039,22495,1711,19833
2000:Q3,RemainingTop1,7096470,7380790,1079683,334677,2746529,241840,362846,1292679,1322536,284320,213088,11119,60113
2000:Q3,Next9,15013154,16317022,3388238,640854,3635232,3127235,1491370,1636820,2397273,1303868,964998,141837,197033
2000:Q3,Next40,14615366,17625580,5785389,1329145,1749238,3612608,1740200,849838,2559162,3010214,2264703,636077,109434
2000:Q3,Bottom50,1448176,3676064,1798481,720440,158069,214745,246325,88007,449997,2227888,1256527,876329,95032
2000:Q4,TopPt1,4320438,4361702,394416,132230,1511253,24308,47382,1066651,1185461,41263,21760,1290,18213
2000:Q4,RemainingTop1,6870841,7169317,1151892,345787,2367206,246867,349561,1329203,1378801,298476,219963,9159,69354
