Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2000:Q4,Next9,14868578,16162739,3519208,633794,3233594,3160374,1439339,1662044,2514385,1294161,978800,145347,170014
2000:Q4,Next40,14671547,17766268,5990735,1355439,1622758,3652187,1658169,865738,2621241,3094721,2314287,671337,109097
2000:Q4,Bottom50,1387347,3667029,1791856,734506,144172,214963,237783,85804,457944,2279682,1281973,914134,83575
2001:Q1,TopPt1,4153957,4191174,411710,136024,1271686,24286,40485,1087507,1219475,37217,21020,1191,15006
2001:Q1,RemainingTop1,6790966,7103948,1273826,356089,2064360,251708,326904,1378000,1453062,312982,226591,10564,75827
2001:Q1,Next9,14787387,16060955,3710316,630152,2918941,3204178,1351099,1645288,2600981,1273569,992187,143657,137725
2001:Q1,Next40,14941059,18080207,6377473,1379731,1530840,3701805,1523790,887029,2679539,3139148,2359447,676361,103340
2001:Q1,Bottom50,1370532,3659264,1796996,744736,131717,215390,222046,79310,469070,2288732,1302115,917951,68666
2001:Q2,TopPt1,4240521,4274025,425948,130105,1373632,24127,41678,1102732,1175803,33504,20163,1157,12184
2001:Q2,RemainingTop1,7064591,7391730,1308535,374072,2240415,256547,334427,1419018,1458715,327139,235661,12924,78554
2001:Q2,Next9,15268435,16553228,3820567,633663,3168043,3262568,1413055,1640424,2614907,1284792,1006561,143806,134425
2001:Q2,Next40,15302019,18535369,6522180,1389215,1658753,3766993,1578837,908651,2710741,3233350,2439174,690842,103334
2001:Q2,Bottom50,1378968,3741892,1858165,751724,138502,215158,229204,74726,474413,2362924,1360642,935521,66761
2001:Q3,TopPt1,4055175,4086393,439973,122686,1066558,24210,34812,1110907,1287247,31219,20265,850,10104
2001:Q3,RemainingTop1,6728785,7060617,1336435,384951,1825676,261806,309958,1444271,1497521,331833,243847,12190,75796
2001:Q3,Next9,14878995,16258857,3918758,638567,2695764,3308208,1319981,1656445,2721134,1379863,1053909,143767,182187
2001:Q3,Next40,15188126,18506759,6669121,1408920,1484916,3820620,1439784,925213,2758184,3318633,2500273,707248,111112
2001:Q3,Bottom50,1366127,3797216,1939011,756188,120678,214707,212116,73012,481504,2431090,1392207,950297,88586
2001:Q4,TopPt1,4170057,4201216,450626,138228,1265354,24463,37601,1082357,1202587,31159,20032,1350,9777
2001:Q4,RemainingTop1,7192885,7548492,1410108,379320,2095230,255813,320530,1525788,1561703,355608,252669,14391,88548
2001:Q4,Next9,15460830,16749148,4004781,651866,3018143,3392884,1387470,1539714,2754289,1288317,1008627,150387,129303
2001:Q4,Next40,15622329,19067603,6856120,1427478,1624198,3872818,1516697,976228,2794064,3445274,2605611,737031,102632
2001:Q4,Bottom50,1318074,3807557,1933679,767368,127905,214371,218476,66795,478963,2489483,1437995,988667,62821
2002:Q1,TopPt1,4193128,4226677,462452,157318,1289128,25106,39867,1086226,1166580,33550,21970,1785,9795
2002:Q1,RemainingTop1,7314806,7686051,1489662,368855,2114289,250362,328563,1553999,1580321,371245,260844,15416,94985
2002:Q1,Next9,15694691,17010625,4106794,657776,3019081,3456348,1428742,1551683,2790200,1315934,1041117,150653,124164
2002:Q1,Next40,15887531,19412607,7053516,1442000,1615284,3905337,1573015,1000132,2823322,3525076,2690400,733750,100926
2002:Q1,Bottom50,1315419,3804908,1923846,772322,124510,213659,223043,68112,479415,2489489,1448076,981912,59501
2002:Q2,TopPt1,4075178,4110045,475697,179376,1148107,25868,35218,1071288,1174490,34867,23838,2095,8934
2002:Q2,RemainingTop1,7177835,7565448,1551298,353768,1894238,245039,308522,1616150,1596433,387613,270265,15259,102089
2002:Q2,Next9,15447771,16779883,4212902,662802,2730071,3514450,1346468,1499860,2813330,1332112,1074304,154149,103659
2002:Q2,Next40,15803841,19441770,7207729,1467651,1485627,3932824,1466321,1041989,2839628,3637929,2792824,748964,96141
2002:Q2,Bottom50,1270860,3794651,1937783,779375,111587,212852,206626,67312,479117,2523792,1477898,997177,48717
2002:Q3,TopPt1,3868379,3905442,490471,185263,896735,26632,30205,1075138,1200998,37063,25181,2574,9308
2002:Q3,RemainingTop1,6839586,7250535,1578383,341216,1509016,239663,285718,1664038,1632500,410948,280636,17195,113117
2002:Q3,Next9,15087128,16419413,4299260,684184,2234093,3573929,1255906,1490434,2881607,1332285,1089346,157514,85425
2002:Q3,Next40,15595223,19361666,7341864,1495369,1263219,3961481,1348915,1075130,2875688,3766443,2911217,761554,93672
2002:Q3,Bottom50,1285299,3864618,2039192,784735,91745,212067,188539,67757,480583,2579319,1527241,1012771,39307
2002:Q4,TopPt1,3815556,3853965,503146,189615,984652,27126,32169,905867,1211390,38409,26644,2966,8799
2002:Q4,RemainingTop1,7046479,7474202,1627284,335420,1619667,233805,293556,1643651,1720819,427722,291050,18211,118461
2002:Q4,Next9,15499268,16850445,4377367,704857,2356291,3650965,1321315,1480451,2959199,1351176,1108808,161778,80590
2002:Q4,Next40,15935469,19836641,7514948,1507907,1313571,4006222,1413062,1135508,2945422,3901171,3029415,779852,91904
2002:Q4,Bottom50,1315853,3960885,2098234,788406,92379,211588,192810,95159,482309,2645032,1575209,1034201,35622
2003:Q1,TopPt1,3807840,3848603,515238,211530,928503,28084,32170,947899,1185179,40763,27887,3609,9267
2003:Q1,RemainingTop1,7030846,7478969,1711594,322853,1520405,228588,292467,1668258,1734804,448123,300929,22064,125130
2003:Q1,Next9,15635449,17002328,4482417,706033,2212726,3701585,1337027,1538788,3023753,1366879,1118455,161879,86545
2003:Q1,Next40,16056470,20062776,7715625,1519058,1242532,4026393,1423037,1150670,2985461,4006306,3141226,773248,91832
2003:Q1,Bottom50,1251444,3933636,2075577,790119,84464,210625,190698,95746,486406,2682192,1616836,1028324,37032
2003:Q2,TopPt1,4110360,4153638,527633,223289,1165499,28822,37391,971110,1199893,43278,29854,4047,9377
2003:Q2,RemainingTop1,7531062,7985390,1785897,317593,1845182,222952,314188,1739532,1760046,454328,312933,23701,117694
2003:Q2,Next9,16250173,17728220,4575810,719898,2583235,3766551,1464009,1512318,3106399,1478046,1159832,165142,153072
2003:Q2,Next40,16532397,20694836,7923240,1529588,1389756,4059624,1566200,1188792,3037637,4162440,3278791,785690,97959
2003:Q2,Bottom50,1179494,3970517,2086696,795726,92389,209902,205021,92495,488288,2791022,1682089,1043350,65583
2003:Q3,TopPt1,4216293,4261610,541683,226012,1272811,29684,38483,992509,1160428,45318,32265,4336,8717
2003:Q3,RemainingTop1,7777714,8250702,1833574,311361,1976393,217424,317868,1828994,1765089,472988,324175,23361,125452
2003:Q3,Next9,16497806,18017900,4661338,744032,2715135,3825130,1505430,1451964,3114870,1520094,1218274,168919,132901
2003:Q3,Next40,16757452,21056999,8111742,1548012,1433959,4086745,1605185,1234213,3037143,4299547,3402690,802589,94268
2003:Q3,Bottom50,1199210,4045481,2163754,801453,92167,209046,206326,86472,486262,2846270,1730459,1060471,55340
2003:Q4,TopPt1,4527576,4581535,561724,232899,1493990,30441,43329,1026307,1192845,53959,33585,4773,15601
2003:Q4,RemainingTop1,8179506,8696366,1854578,307295,2265205,211645,337261,1870887,1849496,516860,335095,25144,156621
2003:Q4,Next9,17269503,18775460,4801985,764681,3020887,3890840,1627675,1473042,3196350,1505957,1231757,172937,101263
2003:Q4,Next40,17121627,21569425,8238183,1563515,1539060,4120213,1739653,1257898,3110902,4447797,3528852,819009,99936
2003:Q4,Bottom50,1292100,4200316,2292072,809275,96336,208293,218971,85072,490297,2908216,1785586,1081069,41561
2004:Q1,TopPt1,5051678,5107789,577448,247546,1620469,30518,44154,1097550,1490104,56111,35133,5308,15670
2004:Q1,RemainingTop1,8612021,9144829,1993910,299481,2416925,204704,339819,1864410,2025580,532808,344805,27840,160163
2004:Q1,Next9,18143116,19681596,4953792,780469,3162025,3998197,1670364,1605219,3511530,1538480,1252879,173165,112436
2004:Q1,Next40,17749229,22300169,8640375,1589060,1576046,4191837,1775021,1255164,3272667,4550941,3636681,814334,99926
2004:Q1,Bottom50,1265168,4206491,2278086,821203,95346,208250,219430,87755,496421,2941323,1820203,1075824,45296
2004:Q2,TopPt1,5107838,5167019,597071,245467,1624134,31763,44667,1207087,1416831,59181,37448,5739,15994
2004:Q2,RemainingTop1,8667970,9219490,2049037,294724,2396249,200820,340891,1927353,2010416,551521,356978,29347,165196
2004:Q2,Next9,18422309,20028661,5091290,811721,3106503,4105388,1698461,1707225,3508073,1606352,1308688,175307,122357
2004:Q2,Next40,17954924,22650412,8902609,1613324,1539284,4251005,1798669,1278090,3267432,4695488,3774494,820973,100021
2004:Q2,Bottom50,1322318,4336551,2408467,829875,88903,208948,218900,86440,495018,3014233,1882633,1083173,48427
2004:Q3,TopPt1,5350819,5409524,623948,265078,1657478,32970,44384,1323110,1462556,58705,39265,6102,13338
2004:Q3,RemainingTop1,8825078,9390936,2125335,283093,2418658,196780,338722,1984882,2043466,565858,368734,30198,166926
2004:Q3,Next9,18947688,20582098,5335011,817247,3088947,4215840,1717249,1844587,3563217,1634410,1343114,179901,111395
2004:Q3,Next40,18187395,23032614,9174024,1628413,1506919,4312734,1805718,1299942,3304864,4845219,3909954,841354,93911
2004:Q3,Bottom50,1351191,4444486,2514758,834006,83496,209673,216049,88948,497556,3093295,1944337,1107320,41638
2004:Q4,TopPt1,5703617,5762986,630430,254521,1840615,42162,51122,1386445,1557691,59369,39728,5664,13977
2004:Q4,RemainingTop1,9281360,9831000,2205901,295694,2632556,217264,375026,2054224,2050335,549639,370822,28537,150280
2004:Q4,Next9,19675206,21435131,5536969,836665,3351456,4300240,1836455,1868393,3704953,1759925,1418893,184965,156067
2004:Q4,Next40,18818053,23754649,9497667,1650964,1577375,4378987,1931212,1317002,3401443,4936597,3974343,863829,98425
2004:Q4,Bottom50,1356689,4612974,2609729,860327,91026,213691,233593,90143,514465,3256285,2055363,1137124,63798
2005:Q1,TopPt1,5778383,5836444,637794,253623,1862666,52102,52282,1448384,1529594,58061,38695,5751,13615
2005:Q1,RemainingTop1,9392249,9940339,2284982,301782,2623498,238944,388269,2074627,2028237,548090,372850,33799,141441
2005:Q1,Next9,20050552,21824731,5756795,843838,3370787,4343988,1834530,1959325,3715469,1774179,1434611,184092,155476
2005:Q1,Next40,19105596,24103524,9789652,1672771,1564007,4407619,1915155,1314865,3439455,4997928,4051790,849282,96856
2005:Q1,Bottom50,1354138,4741789,2688641,883071,92564,216994,234707,96138,529673,3387651,2191073,1132050,64528
2005:Q2,TopPt1,6029050,6089934,650323,263622,1947817,61961,55919,1521534,1588758,60884,39068,5497,16319
2005:Q2,RemainingTop1,9672915,10222660,2349654,307406,2697862,260501,411762,2163473,2032002,549746,375538,34366,139842
2005:Q2,Next9,20580599,22434982,6032868,841684,3483735,4396649,1887967,2005235,3786844,1854383,1511489,186838,156056
2005:Q2,Next40,19472025,24558659,10026963,1695597,1581971,4444285,1961929,1345824,3502090,5086634,4130117,857791,98726
2005:Q2,Bottom50,1359913,4898515,2785574,909985,96421,220450,243033,101315,541737,3538602,2323487,1147897,67218
2005:Q3,TopPt1,6226518,6289071,662981,252153,2089227,71921,60645,1624696,1527448,62553,39473,5180,17900
2005:Q3,RemainingTop1,9981235,10528832,2405648,316679,2845823,282215,439473,2236903,2002091,547597,378197,34147,135253
2005:Q3,Next9,21181480,23115777,6283539,855223,3676599,4447004,1952114,2118400,3782898,1934297,1591253,191044,152000
2005:Q3,Next40,19871761,25055370,10318779,1706723,1622313,4478655,2029193,1366834,3532873,5183608,4209598,874737,99273
2005:Q3,Bottom50,1420290,5120705,2945814,927132,102343,223858,254342,109154,558063,3700415,2459469,1173277,67669
2005:Q4,TopPt1,6428502,6493690,671566,241166,2150721,81925,64870,1699458,1583984,65187,39721,4848,20618
2005:Q4,RemainingTop1,10223889,10773274,2469158,325829,2884910,303991,465186,2279792,2044408,549385,379649,33680,136056
2005:Q4,Next9,21741184,23734169,6497593,869867,3749193,4498022,2011116,2224617,3883760,1992984,1664377,194983,133624
2005:Q4,Next40,20299570,25563700,10608626,1722397,1620568,4513459,2086028,1377474,3635148,5264129,4274229,890446,99454
2005:Q4,Bottom50,1467001,5308418,3068546,946968,105371,227267,264154,117772,578341,3841417,2582422,1196598,62397
2006:Q1,TopPt1,6834006,6902810,674756,250124,2468915,91901,68920,1732158,1616035,68803,40630,4544,23629
2006:Q1,RemainingTop1,10589442,11133677,2432176,332374,3260704,325710,490216,2254213,2038284,544235,381826,33373,129036
2006:Q1,Next9,22501054,24618196,6626432,866421,4194090,4553784,2068819,2334932,3973718,2117142,1765524,197017,154601
2006:Q1,Next40,20407306,25751312,10518110,1739640,1736756,4552458,2139215,1360831,3704302,5344006,4344121,895854,104031
2006:Q1,Bottom50,1483265,5472847,3161603,972296,117494,230744,273419,126815,590476,3989582,2707441,1206797,75344
2006:Q2,TopPt1,6834523,6906895,675549,239583,2407279,102068,69939,1789157,1623320,72373,40983,4517,26873
2006:Q2,RemainingTop1,10480615,11026064,2455429,340101,3131481,347716,502696,2225815,2022826,545449,384183,35503,125763
2006:Q2,Next9,22662517,24865047,6742289,880255,4089177,4600407,2060311,2484990,4007618,2202530,1846766,198076,157688
2006:Q2,Next40,20455421,25881818,10654675,1757152,1682581,4582878,2117980,1340307,3746246,5426397,4423964,895483,106950
2006:Q2,Bottom50,1458317,5605455,3250534,992252,116093,234043,274111,136783,601639,4147139,2850754,1216032,80353
2006:Q3,TopPt1,7035814,7110630,674961,224443,2518672,112100,73998,1859279,1647177,74816,40868,4657,29291
2006:Q3,RemainingTop1,10682559,11221857,2457586,351622,3228737,369487,527679,2246679,2040067,539298,384540,37048,117710
2006:Q3,Next9,23115862,25399160,6829660,898605,4232911,4657453,2116102,2585584,4078845,2283298,1907896,202065,173337
2006:Q3,Next40,20646993,26151032,10736139,1771002,1704699,4622722,2169854,1337638,3808978,5504040,4479913,913688,110439
2006:Q3,Bottom50,1442655,5760893,3350443,1012776,120797,237502,283311,142920,613144,4318238,2973445,1253984,90809
2006:Q4,TopPt1,7280448,7358800,675062,220203,2758564,122061,79687,1914571,1588653,78353,40577,4479,33297
2006:Q4,RemainingTop1,11032600,11559317,2427364,361125,3490864,391124,559200,2269463,2060177,526717,382404,36569,107744
2006:Q4,Next9,23701277,26075823,6915349,904458,4560633,4720435,2201202,2669635,4104111,2374546,1958422,205657,210467
2006:Q4,Next40,20837188,26386184,10687745,1779989,1784650,4667863,2257744,1340180,3868013,5548997,4500391,929285,119321
2006:Q4,Bottom50,1469819,5921876,3443479,1032733,129910,241038,296921,149457,628339,4452057,3058458,1280726,112873
2007:Q1,TopPt1,7582989,7662049,669987,229409,2934363,132209,82777,1943421,1669883,79060,41027,4744,33289
2007:Q1,RemainingTop1,11166260,11687060,2358192,365886,3666425,413035,579997,2197901,2105624,520800,381526,39186,100088
2007:Q1,Next9,24263599,26709093,6939123,898168,4795626,4772807,2231487,2809956,4261926,2445495,2039343,203641,202511
2007:Q1,Next40,20801298,26363751,10460358,1795003,1837054,4703088,2283285,1301435,3983529,5562453,4531574,914879,116000
2007:Q1,Bottom50,1498235,6036291,3489841,1056098,136692,244357,303260,158109,647935,4538057,3148976,1277721,111360
2007:Q2,TopPt1,7725918,7805305,662492,228375,3047378,141264,88663,1970216,1666918,79387,40994,4479,33914
2007:Q2,RemainingTop1,11173487,11676311,2321364,375264,3758513,432146,612359,2102987,2073678,502824,380328,38586,83910
2007:Q2,Next9,24651572,27209214,6948740,901837,4940547,4832391,2325361,2988141,4272198,2557643,2102819,206910,247914
2007:Q2,Next40,20793342,26406672,10339995,1806767,1862522,4756136,2376760,1255986,4008506,5613330,4564509,928044,120777
2007:Q2,Bottom50,1452877,6134730,3519926,1079072,141269,247807,317237,169681,659738,4681853,3248643,1298947,134263
2007:Q3,TopPt1,7929361,8013071,648173,221785,3100146,150409,92186,1974840,1825532,83711,40523,4627,38561
2007:Q3,RemainingTop1,11289475,11791138,2302222,383204,3770619,451372,634954,2028258,2220509,501664,378607,39493,83564
2007:Q3,Next9,25091816,27679707,6899378,908501,5003101,4885993,2367113,3104739,4510882,2587891,2150582,212009,225300
2007:Q3,Next40,20879669,26551817,10251919,1816352,1868923,4803588,2412922,1221793,4176319,5672148,4595918,953363,122867
2007:Q3,Bottom50,1347334,6178204,3503198,1097514,143708,251112,324655,178702,679314,4830869,3353817,1346059,130993
2007:Q4,TopPt1,7843146,7931039,658480,234573,2917617,139273,85845,1941646,1953605,87893,43566,4889,39438
2007:Q4,RemainingTop1,11112498,11612261,2256453,373248,3549766,462509,630005,1978346,2361934,499763,379368,40126,80269
2007:Q4,Next9,25046122,27681772,6861598,914490,4781639,4923803,2363447,3113935,4722859,2635650,2175192,214556,245902
2007:Q4,Next40,20677530,26390346,10041808,1843840,1800310,4884759,2359629,1210887,4249113,5712816,4612046,971832,128938
2007:Q4,Bottom50,1212398,6148822,3473345,1107790,134873,245783,319919,181636,685476,4936424,3414812,1378075,143537
2008:Q1,TopPt1,7488287,7580983,664443,236849,2647877,128266,75564,1730624,2097360,92696,46433,5714,40549
2008:Q1,RemainingTop1,10770055,11271006,2122624,362457,3213505,473814,607223,1987219,2504164,500951,379248,44679,77024
2008:Q1,Next9,24412649,27090454,6721995,930942,4444229,4951300,2264351,2817364,4960273,2677804,2191835,211285,274684
2008:Q1,Next40,20212264,25923399,9610030,1876238,1716395,4956334,2207153,1256179,4301070,5711135,4615949,959175,136011
2008:Q1,Bottom50,1147272,6151484,3500906,1115999,122823,240244,303571,179585,688356,5004211,3463134,1381156,159921
2008:Q2,TopPt1,7222672,7317952,660253,227178,2522004,117043,70863,1654029,2066583,95280,50399,5654,39227
2008:Q2,RemainingTop1,10494576,10998402,2065749,356046,3066287,484750,607465,1902844,2515261,503826,377353,41628,84845
2008:Q2,Next9,24133836,26805336,6526931,954474,4294165,4990721,2271066,2836901,4931078,2671500,2245108,211604,214788
2008:Q2,Next40,19947103,25616189,9365220,1893734,1664277,5038769,2180516,1242042,4231632,5669087,4573166,967890,128031
2008:Q2,Bottom50,1096693,6061354,3426703,1116377,116021,234896,302457,187865,677035,4964661,3436845,1393677,134139
2008:Q3,TopPt1,6789794,6891389,652996,234102,2154153,105979,59936,1518266,2165957,101595,51750,6570,43275
2008:Q3,RemainingTop1,10040615,10536171,2052895,344247,2609452,495909,578959,1841868,2612840,495556,374257,46914,74385
2008:Q3,Next9,23363247,26075703,6340986,962539,3782803,5019812,2154920,2729286,5085357,2712457,2201143,210439,300875
2008:Q3,Next40,19551031,25217394,9170921,1916016,1493350,5111582,2009290,1240723,4275512,5666362,4551318,966389,148655
2008:Q3,Bottom50,798896,5868419,3261348,1119865,100817,229364,282532,192122,682370,5069523,3475409,1413501,180613
2008:Q4,TopPt1,6138904,6248866,657797,247990,1624654,95202,45414,1366374,2211435,109963,53380,7053,49530
2008:Q4,RemainingTop1,9305905,9841016,1977537,323747,1944005,507487,527835,1744699,2815707,535111,370049,49583,115479
2008:Q4,Next9,22562419,25044679,6241372,955699,3023745,5031613,1919705,2618540,5254004,2482260,2164817,208599,108844
2008:Q4,Next40,18857097,24462032,8854278,1927091,1261871,5168357,1730998,1223653,4295785,5604935,4506903,960604,137428
2008:Q4,Bottom50,752386,5756547,3216206,1110731,79192,223537,249207,194761,682913,5004162,3482111,1417950,104101
2009:Q1,TopPt1,5855659,5968530,669842,252953,1416150,84749,38809,1240816,2265210,112871,55005,8123,49743
2009:Q1,RemainingTop1,8854476,9402676,1843364,310030,1693669,519547,514417,1661193,2860456,548200,367772,57458,122970
2009:Q1,Next9,22126423,24529329,6179735,957272,2717519,5024434,1877826,2475101,5297442,2402906,2131614,200883,70409
2009:Q1,Next40,18307974,23858933,8446066,1930005,1142183,5207536,1652091,1192149,4288903,5550959,4494054,921381,135524
2009:Q1,Bottom50,779271,5786734,3288779,1101020,69490,217395,239516,190880,679654,5007463,3528582,1390297,88584
2009:Q2,TopPt1,5757455,5874408,666536,245177,1757991,73791,41528,1032380,2057006,116954,57717,8366,50871
2009:Q2,RemainingTop1,9348221,9891495,1826103,307019,2144001,530869,552681,1682792,2848030,543274,365189,58517,119568
2009:Q2,Next9,22204724,24622464,6022675,973579,3265150,5049667,2076068,2056814,5178511,2417740,2140341,197429,79970
2009:Q2,Next40,18545687,24051862,8293192,1927362,1302122,5276545,1817666,1210148,4224827,5506174,4457333,906819,142022
2009:Q2,Bottom50,674805,5677116,3180774,1094838,80232,211836,261402,175760,672275,5002311,3526233,1377742,98336
2009:Q3,TopPt1,6107536,6228326,664830,233406,2110429,62800,44698,990040,2122123,120790,59405,9151,52234
2009:Q3,RemainingTop1,9849280,10388721,1831227,304578,2612859,542201,592935,1638196,2866726,539441,361526,62559,115356
2009:Q3,Next9,22917905,25320766,5886528,991082,3817195,5078576,2290515,2008371,5248500,2402861,2107242,195545,100074
2009:Q3,Next40,18886902,24358641,8217171,1917839,1455172,5348948,1998837,1189569,4231104,5471739,4420334,901651,149754
2009:Q3,Bottom50,539885,5583057,3074210,1084005,90598,206368,284923,173949,669003,5043173,3540941,1389804,112428
2009:Q4,TopPt1,6077574,6201289,672523,243571,2174404,52069,43343,940329,2075049,123715,62015,9675,52025
2009:Q4,RemainingTop1,10003335,10533894,1826037,297676,2711751,554000,609436,1646520,2888474,530559,358530,64305,107724
2009:Q4,Next9,23010095,25439745,5853194,996600,3933757,5093668,2396846,1886319,5279361,2429650,2113125,193117,123408
2009:Q4,Next40,18951347,24378400,8107773,1932494,1471542,5408646,2065198,1192977,4199770,5427053,4377314,894366,155373
2009:Q4,Bottom50,463584,5514055,3004657,1089679,90713,200690,293506,168893,665918,5050472,3530318,1393553,126601
2010:Q1,TopPt1,6311000,6444879,679681,242845,2314716,40035,42200,1007046,2118355,133879,64326,10326,59227
2010:Q1,RemainingTop1,10233227,10764414,1849151,290629,2910446,564066,627163,1637523,2885437,531188,353383,67222,110583
2010:Q1,Next9,23510060,25951351,5816333,1005135,4163348,5189561,2501280,1963025,5312668,2441290,2105572,186158,149560
2010:Q1,Next40,19249293,24597642,8097483,1930200,1519554,5543124,2134803,1176468,4196010,5348349,4303263,862324,182762
2010:Q1,Bottom50,425392,5430722,2928957,1081894,93351,196441,302943,167849,659288,5005330,3484074,1367028,154228
2010:Q2,TopPt1,6323720,6460862,688322,248180,2087308,27794,34224,1130807,2244228,137142,67150,10568,59424
2010:Q2,RemainingTop1,9960708,10485964,1866743,275185,2631682,572879,608032,1661426,2870017,525255,350114,67068,108073
2010:Q2,Next9,23345046,25817277,5793399,1005715,3845635,5261961,2425590,2113489,5371489,2472232,2123763,183536,164933
2010:Q2,Next40,19126100,24417700,8070463,1932055,1406114,5662245,2020112,1174178,4152533,5291600,4249790,853989,187821
2010:Q2,Bottom50,332556,5313393,2860858,1069673,83692,191364,288703,169853,649250,4980837,3452257,1363292,165288
2010:Q3,TopPt1,6666155,6804132,703299,243288,2369436,15044,35758,1201401,2235906,137976,69333,11198,57445
2010:Q3,RemainingTop1,10411068,10928470,1802371,270744,3015697,581200,641493,1727393,2889572,517402,346296,68847,102259
2010:Q3,Next9,24146842,26617372,5800155,1018423,4289579,5367456,2617303,2108472,5415984,2470530,2114990,182890,172650
2010:Q3,Next40,19398155,24639155,7895459,1926628,1517135,5812258,2170323,1190825,4126528,5241000,4198886,857173,184941
2010:Q3,Bottom50,398280,5386199,2930542,1061197,90967,186897,307927,164919,643750,4987919,3435184,1383618,169117
2010:Q4,TopPt1,6943622,7074073,698682,259786,2608084,15171,43165,1273336,2175849,130451,65424,10787,54240
2010:Q4,RemainingTop1,10835862,11342451,1793868,278715,3298885,556042,661166,1740963,3012812,506590,344509,61534,100547
2010:Q4,Next9,24703715,27192712,5746325,1009727,4611303,5512281,2740722,2153195,5419159,2488997,2082082,194626,212289
2010:Q4,Next40,19662423,24925914,7762949,1921436,1632167,5927496,2331471,1185567,4164828,5263491,4165745,917655,180091
2010:Q4,Bottom50,373480,5358689,2872615,1065776,99530,192371,321179,158545,648673,4985209,3334520,1462209,188480
2011:Q1,TopPt1,7196913,7321210,685812,268549,2820806,16562,49625,1340479,2139377,124297,62797,11265,50235
2011:Q1,RemainingTop1,11097484,11604146,1820618,287689,3546962,532691,673414,1712181,3030591,506662,346639,61726,98297
2011:Q1,Next9,25035455,27579614,5611728,1011930,4890835,5584560,2796531,2237281,5446748,2544159,2107366,192905,243888
2011:Q1,Next40,19887569,25135950,7696602,1926256,1735958,5975782,2448917,1161720,4190714,5248381,4173658,902938,171785
2011:Q1,Bottom50,335310,5258653,2736950,1073815,107249,196650,329927,153887,660175,4923344,3261303,1459475,202566
2011:Q2,TopPt1,7303716,7420955,679511,291573,2820605,18080,52959,1360568,2197659,117239,59562,11104,46573
2011:Q2,RemainingTop1,11208278,11716305,1879437,291751,3517221,509506,669742,1735416,3113232,508027,347919,58415,101693
2011:Q2,Next9,25056278,27603262,5563913,1002150,4861025,5652183,2790233,2197157,5536601,2546983,2105541,195991,245451
2011:Q2,Next40,20081366,25332199,7707713,1937979,1752014,6019861,2489891,1168147,4256594,5250833,4179086,912447,159300
2011:Q2,Bottom50,261814,5135535,2595815,1085597,108098,200895,327980,146058,671092,4873721,3196594,1475119,202008
2011:Q3,TopPt1,7125668,7239491,681664,288743,2366971,20136,48088,1403131,2430758,113822,56503,11350,45969
2011:Q3,RemainingTop1,10598663,11118867,1827820,293741,2901178,487050,626332,1783086,3199659,520204,349502,56342,114360
2011:Q3,Next9,24375121,26892665,5540974,1013086,4172155,5690010,2578590,2166484,5731367,2517545,2111284,199687,206574
2011:Q3,Next40,19741997,25007341,7591266,1949620,1574270,6036449,2315113,1184209,4356413,5265344,4186410,927332,151602
2011:Q3,Bottom50,369846,5200122,2690968,1085439,94086,204670,300104,138001,686854,4830276,3130873,1507465,191938
2011:Q4,TopPt1,7333996,7443537,682585,301990,2539932,21496,55560,1493662,2348312,109541,53160,11332,45049
2011:Q4,RemainingTop1,10817214,11344126,1800697,302764,3095533,463489,642248,1761374,3278021,526912,351129,53262,122521
2011:Q4,Next9,24914615,27418753,5534732,1007740,4396216,5771966,2667596,2294559,5745945,2504138,2106115,204550,193473
